"Year","Index"
"1975","133.208"
"1976","128.1"
"1977","134.792"
"1978","146.992"
"1979","158.792"
"1980","156.142"
"1981","152.867"
"1982","135.642"
"1983","110.65"
"1984","101.05"
"1985","87.125"
"1986","75.7083"
"1987","64.9"
"1988","60.475"
"1989","66.7333"
"1990","72.175"
"1991","69.8333"
"1992","68.375"
"1993","64.2667"
"1994","65.8917"
"1995","68.8417"
"1996","74.425"
"1997","81.375"
"1998","88.45"
"1999","94.1583"
"2000","100.008"
"2001","101.7"
"2002","99.275"
"2003","99.7583"
"2004","103.167"
"2005","107.025"
"2006","109.575"
"2007","107.708"
"2008","90.6917"
