"County","Year","Employee Income","Taxes Paid","Disposable Income per Household","Disposable Income per Person","Disposable Income per Person Minus Rent","Self Employed Income","Capital Gains","Primary Income","Income from Rent","Social Benefits","Total Income per Household","Total Income per Person"
"Carlow","2000","421","192","505","11617","10800","86","20","561","34","136","696","16034"
"Carlow","2001","461","201","573","12945","12192","93","21","616","41","158","774","17487"
"Carlow","2002","474","191","617","13398","12840","85","18","624","46","184","808","17555"
"Carlow","2003","515","209","661","14132","13572","92","23","675","45","195","870","18604"
"Carlow","2004","570","238","722","15146","14756","103","26","739","40","220","959","20133"
"Carlow","2005","637","265","801","16398","15939","122","23","817","35","248","1066","21832"
"Carlow","2006","720","304","880","17574","16807","140","17","911","34","273","1184","23641"
"Carlow","2007","803","334","983","18995","17728","151","3","1014","57","303","1316","25447"
"Carlow","2008","819","323","1065","20055","18570","148","-4","1048","85","340","1387","26132"
"Carlow","2009","735","314","999","18590","17880","118","18","928","57","385","1314","24440"
"Carlow","2010","662","271","993","18372","17045","117","17","867","71","397","1264","23384"
"Carlow","2011","640","291","946","17365","16270","113","14","838","71","398","1236","22705"
"Carlow","2012","632","302","974","17809","16650","105","40","855","79","420","1276","23335"
"Carlow","2013","662","322","967","17612","16092","105","36","880","76","409","1289","23476"
"Carlow","2014","705","358","987","17844","16121","119","42","949","82","395","1344","24312"
"Carlow","2015","793","394","1056","18930","17208","123","43","1052","93","399","1451","26000"
"Carlow","2016","782","373","1038","18398","16652","115","31","1016","88","395","1411","25018"
"Carlow","2017","789","373","1077","18886","17212","121","41","1043","93","407","1451","25432"
"Carlow","2018","846","423","1125","19455","17146","142","41","1141","112","406","1548","26769"
"Cavan","2000","445","218","601","10994","10335","165","24","667","34","152","819","14981"
"Cavan","2001","494","226","686","12420","11850","174","25","733","40","179","912","16518"
"Cavan","2002","552","241","747","13219","12882","161","23","782","45","207","989","17484"
"Cavan","2003","617","271","807","14012","13653","170","29","862","45","217","1078","18722"
"Cavan","2004","705","309","909","15480","15269","190","34","971","41","247","1217","20739"
"Cavan","2005","795","348","1017","16984","16660","229","30","1090","36","275","1365","22787"
"Cavan","2006","886","383","1089","17752","17073","218","22","1162","36","310","1472","23986"
"Cavan","2007","1020","429","1213","19172","18011","222","4","1307","62","336","1643","25956"
"Cavan","2008","1029","396","1305","20043","18719","204","-6","1322","94","379","1701","26124"
"Cavan","2009","957","388","1249","18828","18254","163","23","1206","63","430","1636","24674"
"Cavan","2010","871","352","1217","18189","17019","167","23","1139","77","431","1569","23447"
"Cavan","2011","861","386","1152","15789","14973","168","19","1123","75","416","1538","21081"
"Cavan","2012","846","400","1180","16107","15233","160","54","1144","85","436","1581","21571"
