"County","Year","Female Population","Male Population"
"Carlow","1841","42428","43800"
"Carlow","1842","41554","42926"
"Carlow","1843","40680","42052"
"Carlow","1844","39806","41178"
"Carlow","1845","38932","40304"
"Carlow","1846","38058","39430"
"Carlow","1847","37185","38557"
"Carlow","1848","36311","37683"
"Carlow","1849","35437","36809"
"Carlow","1850","34563","35935"
"Carlow","1851","33016","35062"
"Carlow","1852","32409","34455"
"Carlow","1853","31803","33849"
"Carlow","1854","31196","33242"
"Carlow","1855","30590","32636"
"Carlow","1856","29983","32029"
"Carlow","1857","29377","31423"
"Carlow","1858","28771","30817"
"Carlow","1859","28164","30210"
"Carlow","1860","27558","29604"
"Carlow","1861","28139","28998"
"Carlow","1862","27857","28716"
"Carlow","1863","27576","28435"
"Carlow","1864","27295","28154"
"Carlow","1865","27014","27873"
"Carlow","1866","26732","27591"
"Carlow","1867","26451","27310"
"Carlow","1868","26170","27029"
"Carlow","1869","25889","26748"
"Carlow","1870","25608","26467"
"Carlow","1871","25464","26186"
"Carlow","1872","25194","25916"
"Carlow","1873","24924","25646"
"Carlow","1874","24655","25377"
"Carlow","1875","24385","25107"
"Carlow","1876","24116","24838"
"Carlow","1877","23846","24568"
"Carlow","1878","23576","24298"
"Carlow","1879","23307","24029"
"Carlow","1880","23037","23759"
"Carlow","1881","23078","23490"
"Carlow","1882","22767","23179"
"Carlow","1883","22456","22868"
"Carlow","1884","22146","22558"
"Carlow","1885","21835","22247"
"Carlow","1886","21525","21937"
"Carlow","1887","21214","21626"
"Carlow","1888","20903","21315"
"Carlow","1889","20593","21005"
"Carlow","1890","20282","20694"
"Carlow","1891","20552","20384"
"Carlow","1892","20387","20219"
"Carlow","1893","20223","20055"
"Carlow","1894","20058","19890"
"Carlow","1895","19894","19726"
"Carlow","1896","19729","19561"
"Carlow","1897","19565","19397"
"Carlow","1898","19400","19232"
"Carlow","1899","19236","19068"
"Carlow","1900","19071","18903"
"Carlow","1901","19009","18739"
"Carlow","1902","18912","18642"
"Carlow","1903","18815","18545"
"Carlow","1904","18718","18448"
"Carlow","1905","18621","18351"
"Carlow","1906","18525","18255"
"Carlow","1907","18428","18158"
"Carlow","1908","18331","18061"
"Carlow","1909","18234","17964"
"Carlow","1910","18137","17867"
"Carlow","1911","18481","17771"
"Carlow","1912","18407","17697"
"Carlow","1913","18334","17624"
"Carlow","1914","18261","17551"
"Carlow","1915","18188","17478"
"Carlow","1916","18115","17405"
"Carlow","1917","18042","17332"
"Carlow","1918","17969","17259"
"Carlow","1919","17895","17185"
"Carlow","1920","17822","17112"
"Carlow","1921","17749","17039"
"Carlow","1922","17676","16966"
