"Year","County","Planning Permission"
"1975","Carlow","0"
"1975","Cavan","0"
"1975","Clare","0"
"1975","Cork","0"
"1975","Donegal","0"
"1975","Dublin","0"
"1975","Fingal","0"
"1975","Galway","0"
"1975","Kerry","0"
"1975","Kildare","0"
"1975","Kilkenny","0"
"1975","Laois","0"
"1975","Leitrim","0"
"1975","Limerick","0"
"1975","Longford","0"
"1975","Louth","0"
"1975","Mayo","0"
"1975","Meath","0"
"1975","Monaghan","0"
"1975","Offaly","0"
"1975","Roscommon","0"
"1975","Sligo","0"
"1975","Tipperary","0"
"1975","Waterford","0"
"1975","Wexford","0"
"1975","Wicklow","0"
"1976","Carlow","0"
"1976","Cavan","0"
"1976","Clare","0"
"1976","Cork","0"
"1976","Donegal","0"
"1976","Dublin","0"
"1976","Fingal","0"
"1976","Galway","0"
"1976","Kerry","0"
"1976","Kildare","0"
"1976","Kilkenny","0"
"1976","Laois","0"
"1976","Leitrim","0"
"1976","Limerick","0"
"1976","Longford","0"
"1976","Louth","0"
"1976","Mayo","0"
"1976","Meath","0"
"1976","Monaghan","0"
"1976","Offaly","0"
"1976","Roscommon","0"
"1976","Sligo","0"
"1976","Tipperary","0"
"1976","Waterford","0"
"1976","Wexford","0"
"1976","Wicklow","0"
"1977","Carlow","0"
"1977","Cavan","0"
"1977","Clare","0"
"1977","Cork","0"
"1977","Donegal","0"
"1977","Dublin","0"
"1977","Fingal","0"
"1977","Galway","0"
"1977","Kerry","0"
"1977","Kildare","0"
"1977","Kilkenny","0"
"1977","Laois","0"
"1977","Leitrim","0"
"1977","Limerick","0"
"1977","Longford","0"
"1977","Louth","0"
"1977","Mayo","0"
"1977","Meath","0"
"1977","Monaghan","0"
"1977","Offaly","0"
"1977","Roscommon","0"
"1977","Sligo","0"
"1977","Tipperary","0"
"1977","Waterford","0"
"1977","Wexford","0"
"1977","Wicklow","0"
"1978","Carlow","0"
"1978","Cavan","0"
"1978","Clare","0"
"1978","Cork","0"
"1978","Donegal","0"
"1978","Dublin","0"
"1978","Fingal","0"
"1978","Galway","0"
"1978","Kerry","0"
"1978","Kildare","0"
"1978","Kilkenny","0"
"1978","Laois","0"
"1978","Leitrim","0"
"1978","Limerick","0"
"1978","Longford","0"
"1978","Louth","0"
"1978","Mayo","0"
"1978","Meath","0"
"1978","Monaghan","0"
"1978","Offaly","0"
"1978","Roscommon","0"
"1978","Sligo","0"
"1978","Tipperary","0"
"1978","Waterford","0"
"1978","Wexford","0"
"1978","Wicklow","0"
"1979","Carlow","0"
"1979","Cavan","0"
"1979","Clare","0"
"1979","Cork","0"
"1979","Donegal","0"
"1979","Dublin","0"
"1979","Fingal","0"
"1979","Galway","0"
"1979","Kerry","0"
"1979","Kildare","0"
"1979","Kilkenny","0"
"1979","Laois","0"
"1979","Leitrim","0"
"1979","Limerick","0"
"1979","Longford","0"
"1979","Louth","0"
"1979","Mayo","0"
"1979","Meath","0"
"1979","Monaghan","0"
"1979","Offaly","0"
"1979","Roscommon","0"
"1979","Sligo","0"
"1979","Tipperary","0"
"1979","Waterford","0"
"1979","Wexford","0"
"1979","Wicklow","0"
"1980","Carlow","0"
"1980","Cavan","0"
"1980","Clare","0"
"1980","Cork","0"
"1980","Donegal","0"
"1980","Dublin","0"
"1980","Fingal","0"
"1980","Galway","0"
"1980","Kerry","0"
"1980","Kildare","0"
"1980","Kilkenny","0"
"1980","Laois","0"
"1980","Leitrim","0"
"1980","Limerick","0"
"1980","Longford","0"
"1980","Louth","0"
"1980","Mayo","0"
"1980","Meath","0"
"1980","Monaghan","0"
"1980","Offaly","0"
"1980","Roscommon","0"
"1980","Sligo","0"
"1980","Tipperary","0"
"1980","Waterford","0"
"1980","Wexford","0"
"1980","Wicklow","0"
"1981","Carlow","0"
"1981","Cavan","0"
"1981","Clare","0"
"1981","Cork","0"
"1981","Donegal","0"
"1981","Dublin","0"
"1981","Fingal","0"
"1981","Galway","0"
"1981","Kerry","0"
"1981","Kildare","0"
"1981","Kilkenny","0"
"1981","Laois","0"
