"County","Year","Female Population","Male Population"
"Carlow","1841","42428","43800"
"Carlow","1851","33016","35062"
"Carlow","1861","28139","28998"
"Carlow","1871","25464","26186"
"Carlow","1881","23078","23490"
"Carlow","1891","20552","20384"
"Carlow","1901","19009","18739"
"Carlow","1911","18481","17771"
"Carlow","1926","17802","16674"
"Carlow","1936","18066","16386"
"Carlow","1946","17702","16379"
"Carlow","1951","17848","16314"
"Carlow","1956","17666","16222"
"Carlow","1961","17360","15982"
"Carlow","1966","17320","16273"
"Carlow","1971","17502","16735"
"Carlow","1979","19743","18925"
"Carlow","1981","20195","19625"
"Carlow","1986","20816","20172"
"Carlow","1991","20785","20157"
"Carlow","1996","21086","20530"
"Carlow","2002","23403","22611"
"Carlow","2006","24738","25611"
"Carlow","2011","27181","27431"
"Carlow","2016","28467","28465"
"Cavan","1841","120814","122344"
"Cavan","1851","86610","87461"
"Cavan","1861","77503","76403"
"Cavan","1871","70479","70256"
"Cavan","1881","64637","64839"
"Cavan","1891","56772","55145"
"Cavan","1901","50087","47454"
"Cavan","1911","47743","43430"
"Cavan","1926","43550","38902"
"Cavan","1936","41446","35224"
"Cavan","1946","38121","32234"
"Cavan","1951","36187","30190"
"Cavan","1956","33177","28563"
"Cavan","1961","30277","26317"
"Cavan","1966","28803","25219"
"Cavan","1971","27819","24799"
"Cavan","1979","28302","25418"
"Cavan","1981","28338","25517"
"Cavan","1986","28202","25763"
"Cavan","1991","27314","25482"
"Cavan","1996","27281","25663"
"Cavan","2002","29015","27531"
"Cavan","2006","31088","32915"
"Cavan","2011","36170","37013"
"Cavan","2016","37846","38330"
"Clare","1841","144109","142285"
"Clare","1851","103953","108487"
"Clare","1861","82541","83764"
"Clare","1871","73442","74422"
"Clare","1881","71058","70399"
"Clare","1891","63138","61345"
"Clare","1901","57386","54948"
"Clare","1911","53877","50355"
"Clare","1926","50071","44993"
"Clare","1936","47957","41922"
"Clare","1946","45350","39714"
"Clare","1951","43473","37856"
