"Dublin","Year","Index"
"Dublin","2005","126.658"
"Dublin","2006","149.567"
"Dublin","2007","157.883"
"Dublin","2008","143.383"
"Dublin","2009","108.317"
"Dublin","2010","89.9"
"Dublin","2011","75.4833"
"Dublin","2012","66.7333"
"Dublin","2013","73.2333"
"Dublin","2014","90.95"
"Dublin","2015","99.9917"
"Dublin","2016","105.05"
"Dublin","2017","115.033"
"Dublin","2018","124.883"
"Dublin","2019","124.867"
"Dublin","2020","124.242"
"Dublin","2021","130.856"
"not Dublin","2005","148.825"
"not Dublin","2006","168.25"
"not Dublin","2007","182.608"
"not Dublin","2008","172.108"
"not Dublin","2009","143.583"
"not Dublin","2010","126.508"
"not Dublin","2011","103.825"
"not Dublin","2012","88.1"
"not Dublin","2013","82"
"not Dublin","2014","88.375"
"not Dublin","2015","99.9917"
"not Dublin","2016","109.967"
"not Dublin","2017","123.383"
"not Dublin","2018","138.167"
"not Dublin","2019","144.775"
"not Dublin","2020","146.4"
"not Dublin","2021","156.189"
