"County","Region"
"Donegal","Border"
"Sligo","Border"
"Leitrim","Border"
"Cavan","Border"
"Monaghan","Border"
"Galway","West"
"Mayo","West"
"Roscommon","West"
"Clare","Mid-West"
"Tipperary","Mid-West"
"Limerick","Mid-West"
"Waterford","South-East"
"Kilkenny","South-East"
"Carlow","South-East"
"Wexford","South-East"
"Cork","South-West"
"Kerry","South-West"
"Dublin","Dublin"
"Wicklow","Mid-East"
"Kildare","Mid-East"
"Meath","Mid-East"
"Louth","Mid-East"
"Longford","Midlands"
"Westmeath","Midlands"
"Offaly","Midlands"
"Laois","Midlands"
