"Year","Sex","Age Group","Year Rate"
"1998","All","15 - 24","11.1667"
"1998","All","15 - 74","7.66667"
"1998","All","25 - 74","6.58333"
"1998","Female","15 - 24","10.6833"
"1998","Female","15 - 74","8.01667"
"1998","Female","25 - 74","7.06667"
"1998","Male","15 - 24","11.55"
"1998","Male","15 - 74","7.43333"
"1998","Male","25 - 74","6.28333"
"1999","All","15 - 24","8.44167"
"1999","All","15 - 74","5.75"
"1999","All","25 - 74","4.91667"
"1999","Female","15 - 24","8.08333"
"1999","Female","15 - 74","6.075"
"1999","Female","25 - 74","5.35"
"1999","Male","15 - 24","8.74167"
"1999","Male","15 - 74","5.525"
"1999","Male","25 - 74","4.625"
"2000","All","15 - 24","6.66667"
"2000","All","15 - 74","4.39167"
"2000","All","25 - 74","3.70833"
"2000","Female","15 - 24","6.66667"
"2000","Female","15 - 74","4.68333"
"2000","Female","25 - 74","3.98333"
"2000","Male","15 - 24","6.675"
"2000","Male","15 - 74","4.18333"
"2000","Male","25 - 74","3.51667"
"2001","All","15 - 24","7.25"
"2001","All","15 - 74","4.175"
"2001","All","25 - 74","3.31667"
"2001","Female","15 - 24","6.55"
"2001","Female","15 - 74","4.31667"
"2001","Female","25 - 74","3.625"
"2001","Male","15 - 24","7.80833"
"2001","Male","15 - 74","4.09167"
"2001","Male","25 - 74","3.11667"
"2002","All","15 - 24","8.58333"
"2002","All","15 - 74","4.725"
"2002","All","25 - 74","3.7"
"2002","Female","15 - 24","7.5"
"2002","Female","15 - 74","4.66667"
"2002","Female","25 - 74","3.84167"
"2002","Male","15 - 24","9.45"
"2002","Male","15 - 74","4.76667"
"2002","Male","25 - 74","3.61667"
"2003","All","15 - 24","8.85833"
"2003","All","15 - 74","4.84167"
"2003","All","25 - 74","3.8"
"2003","Female","15 - 24","7.73333"
"2003","Female","15 - 74","4.725"
"2003","Female","25 - 74","3.86667"
"2003","Male","15 - 24","9.76667"
"2003","Male","15 - 74","4.91667"
"2003","Male","25 - 74","3.76667"
"2004","All","15 - 24","8.84167"
"2004","All","15 - 74","4.75"
"2004","All","25 - 74","3.73333"
"2004","Female","15 - 24","8.13333"
"2004","Female","15 - 74","4.6"
"2004","Female","25 - 74","3.59167"
"2004","Male","15 - 24","9.45833"
"2004","Male","15 - 74","4.86667"
"2004","Male","25 - 74","3.78333"
"2005","All","15 - 24","8.66667"
"2005","All","15 - 74","4.625"
"2005","All","25 - 74","3.66667"
"2005","Female","15 - 24","7.725"
"2005","Female","15 - 74","4.65833"
"2005","Female","25 - 74","3.83333"
"2005","Male","15 - 24","9.45833"
"2005","Male","15 - 74","4.625"
"2005","Male","25 - 74","3.5"
"2006","All","15 - 24","8.73333"
"2006","All","15 - 74","4.775"
"2006","All","25 - 74","3.80833"
"2006","Female","15 - 24","8.1"
"2006","Female","15 - 74","4.90833"
"2006","Female","25 - 74","4.05"
"2006","Male","15 - 24","9.25"
"2006","Male","15 - 74","4.675"
"2006","Male","25 - 74","3.59167"
"2007","All","15 - 24","9.14167"
"2007","All","15 - 74","5"
"2007","All","25 - 74","3.96667"
"2007","Female","15 - 24","7.85833"
"2007","Female","15 - 74","4.94167"
"2007","Female","25 - 74","4.15"
"2007","Male","15 - 24","10.2583"
"2007","Male","15 - 74","5.04167"
