"Statistic","CensusYear","Sex","Aggregate Town or Rural Area","Province County or City","UNIT","VALUE"
"Population","2006","Both sexes","Aggregate Town Area","State","Number","2574313"
"Population","2006","Both sexes","Aggregate Town Area","Leinster","Number","1724936"
"Population","2006","Both sexes","Aggregate Town Area","Carlow","Number","24306"
"Population","2006","Both sexes","Aggregate Town Area","Dublin","Number","1160501"
"Population","2006","Both sexes","Aggregate Town Area","Dublin City","Number","506211"
"Population","2006","Both sexes","Aggregate Town Area","Dún Laoghaire-Rathdown","Number","191848"
"Population","2006","Both sexes","Aggregate Town Area","Fingal","Number","221835"
"Population","2006","Both sexes","Aggregate Town Area","South Dublin","Number","240607"
"Population","2006","Both sexes","Aggregate Town Area","Kildare","Number","122016"
"Population","2006","Both sexes","Aggregate Town Area","Kilkenny","Number","30942"
"Population","2006","Both sexes","Aggregate Town Area","Laois","Number","27165"
"Population","2006","Both sexes","Aggregate Town Area","Longford","Number","8836"
"Population","2006","Both sexes","Aggregate Town Area","Louth","Number","71640"
"Population","2006","Both sexes","Aggregate Town Area","Meath","Number","85705"
"Population","2006","Both sexes","Aggregate Town Area","Offaly","Number","30114"
"Population","2006","Both sexes","Aggregate Town Area","Westmeath","Number","37604"
"Population","2006","Both sexes","Aggregate Town Area","Wexford","Number","45612"
"Population","2006","Both sexes","Aggregate Town Area","Wicklow","Number","80495"
"Population","2006","Both sexes","Aggregate Town Area","Munster","Number","608126"
"Population","2006","Both sexes","Aggregate Town Area","Clare","Number","43391"
"Population","2006","Both sexes","Aggregate Town Area","Cork","Number","295686"
"Population","2006","Both sexes","Aggregate Town Area","Cork City","Number","119418"
"Population","2006","Both sexes","Aggregate Town Area","Cork County","Number","176268"
"Population","2006","Both sexes","Aggregate Town Area","Kerry","Number","49233"
"Population","2006","Both sexes","Aggregate Town Area","Limerick","Number","95613"
"Population","2006","Both sexes","Aggregate Town Area","Limerick City","Number","52539"
"Population","2006","Both sexes","Aggregate Town Area","Limerick County","Number","43074"
"Population","2006","Both sexes","Aggregate Town Area","North Tipperary","Number","24616"
"Population","2006","Both sexes","Aggregate Town Area","South Tipperary","Number","33512"
"Population","2006","Both sexes","Aggregate Town Area","Waterford","Number","66075"
"Population","2006","Both sexes","Aggregate Town Area","Waterford City","Number","45748"
"Population","2006","Both sexes","Aggregate Town Area","Waterford County","Number","20327"
"Population","2006","Both sexes","Aggregate Town Area","Connacht","Number","171765"
"Population","2006","Both sexes","Aggregate Town Area","Galway","Number","99756"
"Population","2006","Both sexes","Aggregate Town Area","Galway City","Number","72414"
"Population","2006","Both sexes","Aggregate Town Area","Galway County","Number","27342"
"Population","2006","Both sexes","Aggregate Town Area","Leitrim","Number","2595"
"Population","2006","Both sexes","Aggregate Town Area","Mayo","Number","35678"
"Population","2006","Both sexes","Aggregate Town Area","Roscommon","Number","14334"
"Population","2006","Both sexes","Aggregate Town Area","Sligo","Number","19402"
"Population","2006","Both sexes","Aggregate Town Area","Ulster (part of)","Number","69486"
"Population","2006","Both sexes","Aggregate Town Area","Cavan","Number","16913"
"Population","2006","Both sexes","Aggregate Town Area","Donegal","Number","36585"
"Population","2006","Both sexes","Aggregate Town Area","Monaghan","Number","15988"
"Population","2006","Both sexes","Aggregate Rural Area","State","Number","1665535"
"Population","2006","Both sexes","Aggregate Rural Area","Leinster","Number","570187"
"Population","2006","Both sexes","Aggregate Rural Area","Carlow","Number","26043"
"Population","2006","Both sexes","Aggregate Rural Area","Dublin","Number","26675"
"Population","2006","Both sexes","Aggregate Rural Area","Dublin City","Number",""
"Population","2006","Both sexes","Aggregate Rural Area","Dún Laoghaire-Rathdown","Number","2190"
"Population","2006","Both sexes","Aggregate Rural Area","Fingal","Number","18157"
"Population","2006","Both sexes","Aggregate Rural Area","South Dublin","Number","6328"
"Population","2006","Both sexes","Aggregate Rural Area","Kildare","Number","64319"
"Population","2006","Both sexes","Aggregate Rural Area","Kilkenny","Number","56616"
"Population","2006","Both sexes","Aggregate Rural Area","Laois","Number","39894"
"Population","2006","Both sexes","Aggregate Rural Area","Longford","Number","25555"
"Population","2006","Both sexes","Aggregate Rural Area","Louth","Number","39627"
"Population","2006","Both sexes","Aggregate Rural Area","Meath","Number","77126"
"Population","2006","Both sexes","Aggregate Rural Area","Offaly","Number","40754"
"Population","2006","Both sexes","Aggregate Rural Area","Westmeath","Number","41742"
"Population","2006","Both sexes","Aggregate Rural Area","Wexford","Number","86137"
"Population","2006","Both sexes","Aggregate Rural Area","Wicklow","Number","45699"
"Population","2006","Both sexes","Aggregate Rural Area","Munster","Number","565214"
"Population","2006","Both sexes","Aggregate Rural Area","Clare","Number","67559"
"Population","2006","Both sexes","Aggregate Rural Area","Cork","Number","185609"
"Population","2006","Both sexes","Aggregate Rural Area","Cork City","Number",""
"Population","2006","Both sexes","Aggregate Rural Area","Cork County","Number","185609"
"Population","2006","Both sexes","Aggregate Rural Area","Kerry","Number","90602"
"Population","2006","Both sexes","Aggregate Rural Area","Limerick","Number","88442"
"Population","2006","Both sexes","Aggregate Rural Area","Limerick City","Number",""
"Population","2006","Both sexes","Aggregate Rural Area","Limerick County","Number","88442"
"Population","2006","Both sexes","Aggregate Rural Area","North Tipperary","Number","41407"
"Population","2006","Both sexes","Aggregate Rural Area","South Tipperary","Number","49709"
"Population","2006","Both sexes","Aggregate Rural Area","Waterford","Number","41886"
"Population","2006","Both sexes","Aggregate Rural Area","Waterford City","Number",""
"Population","2006","Both sexes","Aggregate Rural Area","Waterford County","Number","41886"
"Population","2006","Both sexes","Aggregate Rural Area","Connacht","Number","332356"
"Population","2006","Both sexes","Aggregate Rural Area","Galway","Number","131914"
"Population","2006","Both sexes","Aggregate Rural Area","Galway City","Number",""
"Population","2006","Both sexes","Aggregate Rural Area","Galway County","Number","131914"
"Population","2006","Both sexes","Aggregate Rural Area","Leitrim","Number","26355"
"Population","2006","Both sexes","Aggregate Rural Area","Mayo","Number","88161"
"Population","2006","Both sexes","Aggregate Rural Area","Roscommon","Number","44434"
"Population","2006","Both sexes","Aggregate Rural Area","Sligo","Number","41492"
"Population","2006","Both sexes","Aggregate Rural Area","Ulster (part of)","Number","197778"
"Population","2006","Both sexes","Aggregate Rural Area","Cavan","Number","47090"
"Population","2006","Both sexes","Aggregate Rural Area","Donegal","Number","110679"
"Population","2006","Both sexes","Aggregate Rural Area","Monaghan","Number","40009"
"Population","2006","Male","Aggregate Town Area","State","Number","1267960"
"Population","2006","Male","Aggregate Town Area","Leinster","Number","849925"
"Population","2006","Male","Aggregate Town Area","Carlow","Number","12202"
"Population","2006","Male","Aggregate Town Area","Dublin","Number","568900"
