"Statistic","Month","State","UNIT","VALUE"
"Index of Employment (January 1975 to December 2008) in Building and Const","1975M01","State","Base 2000=100","141.6"
"Index of Employment (January 1975 to December 2008) in Building and Const","1975M02","State","Base 2000=100","140.4"
"Index of Employment (January 1975 to December 2008) in Building and Const","1975M03","State","Base 2000=100","138"
"Index of Employment (January 1975 to December 2008) in Building and Const","1975M04","State","Base 2000=100","135.5"
"Index of Employment (January 1975 to December 2008) in Building and Const","1975M05","State","Base 2000=100","135.6"
"Index of Employment (January 1975 to December 2008) in Building and Const","1975M06","State","Base 2000=100","134.2"
"Index of Employment (January 1975 to December 2008) in Building and Const","1975M07","State","Base 2000=100","134.6"
"Index of Employment (January 1975 to December 2008) in Building and Const","1975M08","State","Base 2000=100","128.8"
"Index of Employment (January 1975 to December 2008) in Building and Const","1975M09","State","Base 2000=100","130.4"
"Index of Employment (January 1975 to December 2008) in Building and Const","1975M10","State","Base 2000=100","128.9"
"Index of Employment (January 1975 to December 2008) in Building and Const","1975M11","State","Base 2000=100","126.6"
"Index of Employment (January 1975 to December 2008) in Building and Const","1975M12","State","Base 2000=100","123.9"
"Index of Employment (January 1975 to December 2008) in Building and Const","1976M01","State","Base 2000=100","129.7"
"Index of Employment (January 1975 to December 2008) in Building and Const","1976M02","State","Base 2000=100","127.9"
"Index of Employment (January 1975 to December 2008) in Building and Const","1976M03","State","Base 2000=100","127.3"
"Index of Employment (January 1975 to December 2008) in Building and Const","1976M04","State","Base 2000=100","126.8"
"Index of Employment (January 1975 to December 2008) in Building and Const","1976M05","State","Base 2000=100","126.8"
"Index of Employment (January 1975 to December 2008) in Building and Const","1976M06","State","Base 2000=100","127.6"
"Index of Employment (January 1975 to December 2008) in Building and Const","1976M07","State","Base 2000=100","128.7"
"Index of Employment (January 1975 to December 2008) in Building and Const","1976M08","State","Base 2000=100","126.2"
"Index of Employment (January 1975 to December 2008) in Building and Const","1976M09","State","Base 2000=100","129.9"
"Index of Employment (January 1975 to December 2008) in Building and Const","1976M10","State","Base 2000=100","129.7"
"Index of Employment (January 1975 to December 2008) in Building and Const","1976M11","State","Base 2000=100","129.3"
"Index of Employment (January 1975 to December 2008) in Building and Const","1976M12","State","Base 2000=100","127.3"
"Index of Employment (January 1975 to December 2008) in Building and Const","1977M01","State","Base 2000=100","130.7"
"Index of Employment (January 1975 to December 2008) in Building and Const","1977M02","State","Base 2000=100","132.6"
"Index of Employment (January 1975 to December 2008) in Building and Const","1977M03","State","Base 2000=100","132.8"
