"Statistic","CensusYear","Sex","Province County or City","UNIT","VALUE"
"2002 Population at Each Census Since 1841","1841","Both sexes","State","Number","6528799"
"2002 Population at Each Census Since 1841","1841","Both sexes","Leinster","Number","1973731"
"2002 Population at Each Census Since 1841","1841","Both sexes","Carlow","Number","86228"
"2002 Population at Each Census Since 1841","1841","Both sexes","Dublin","Number","372773"
"2002 Population at Each Census Since 1841","1841","Both sexes","Kildare","Number","114488"
"2002 Population at Each Census Since 1841","1841","Both sexes","Kilkenny","Number","202420"
"2002 Population at Each Census Since 1841","1841","Both sexes","Laois","Number","153930"
"2002 Population at Each Census Since 1841","1841","Both sexes","Longford","Number","115491"
"2002 Population at Each Census Since 1841","1841","Both sexes","Louth","Number","128240"
"2002 Population at Each Census Since 1841","1841","Both sexes","Meath","Number","183828"
"2002 Population at Each Census Since 1841","1841","Both sexes","Offaly","Number","146857"
"2002 Population at Each Census Since 1841","1841","Both sexes","Westmeath","Number","141300"
"2002 Population at Each Census Since 1841","1841","Both sexes","Wexford","Number","202033"
"2002 Population at Each Census Since 1841","1841","Both sexes","Wicklow","Number","126143"
"2002 Population at Each Census Since 1841","1841","Both sexes","Munster","Number","2396161"
"2002 Population at Each Census Since 1841","1841","Both sexes","Clare","Number","286394"
"2002 Population at Each Census Since 1841","1841","Both sexes","Cork","Number","854118"
"2002 Population at Each Census Since 1841","1841","Both sexes","Kerry","Number","293880"
"2002 Population at Each Census Since 1841","1841","Both sexes","Limerick","Number","330029"
"2002 Population at Each Census Since 1841","1841","Both sexes","North Tipperary","Number","201161"
"2002 Population at Each Census Since 1841","1841","Both sexes","South Tipperary","Number","234392"
"2002 Population at Each Census Since 1841","1841","Both sexes","Waterford","Number","196187"
"2002 Population at Each Census Since 1841","1841","Both sexes","Connacht","Number","1418859"
"2002 Population at Each Census Since 1841","1841","Both sexes","Galway","Number","440198"
"2002 Population at Each Census Since 1841","1841","Both sexes","Leitrim","Number","155297"
"2002 Population at Each Census Since 1841","1841","Both sexes","Mayo","Number","388887"
"2002 Population at Each Census Since 1841","1841","Both sexes","Roscommon","Number","253591"
"2002 Population at Each Census Since 1841","1841","Both sexes","Sligo","Number","180886"
"2002 Population at Each Census Since 1841","1841","Both sexes","Ulster (part of)","Number","740048"
"2002 Population at Each Census Since 1841","1841","Both sexes","Cavan","Number","243158"
"2002 Population at Each Census Since 1841","1841","Both sexes","Donegal","Number","296448"
