"Statistic","Year","Type of Dwelling","Region and County","UNIT","VALUE"
"Planning Permissions Granted","1975","Houses","State","Number",""
"Planning Permissions Granted","1975","Houses","Northern and Western","Number",""
"Planning Permissions Granted","1975","Houses","Border","Number",""
"Planning Permissions Granted","1975","Houses","Leitrim","Number",""
"Planning Permissions Granted","1975","Houses","Sligo","Number",""
"Planning Permissions Granted","1975","Houses","Cavan","Number",""
"Planning Permissions Granted","1975","Houses","Donegal","Number",""
"Planning Permissions Granted","1975","Houses","Monaghan","Number",""
"Planning Permissions Granted","1975","Houses","West","Number",""
"Planning Permissions Granted","1975","Houses","Galway","Number",""
"Planning Permissions Granted","1975","Houses","Galway City","Number",""
"Planning Permissions Granted","1975","Houses","Mayo","Number",""
"Planning Permissions Granted","1975","Houses","Roscommon","Number",""
"Planning Permissions Granted","1975","Houses","Southern","Number",""
"Planning Permissions Granted","1975","Houses","Mid-West","Number",""
"Planning Permissions Granted","1975","Houses","Clare","Number",""
"Planning Permissions Granted","1975","Houses","Limerick","Number",""
"Planning Permissions Granted","1975","Houses","Tipperary","Number",""
"Planning Permissions Granted","1975","Houses","South-East","Number",""
"Planning Permissions Granted","1975","Houses","Carlow","Number",""
"Planning Permissions Granted","1975","Houses","Kilkenny","Number",""
"Planning Permissions Granted","1975","Houses","Wexford","Number",""
"Planning Permissions Granted","1975","Houses","Waterford","Number",""
"Planning Permissions Granted","1975","Houses","South-West","Number",""
"Planning Permissions Granted","1975","Houses","Cork","Number",""
"Planning Permissions Granted","1975","Houses","Cork City","Number",""
"Planning Permissions Granted","1975","Houses","Kerry","Number",""
"Planning Permissions Granted","1975","Houses","Eastern and Midland","Number",""
"Planning Permissions Granted","1975","Houses","Dublin","Number",""
"Planning Permissions Granted","1975","Houses","Dublin City","Number",""
"Planning Permissions Granted","1975","Houses","South Dublin","Number",""
"Planning Permissions Granted","1975","Houses","Fingal","Number",""
"Planning Permissions Granted","1975","Houses","Dun Laoghaire - Rathdown","Number",""
"Planning Permissions Granted","1975","Houses","Mid-East","Number",""
"Planning Permissions Granted","1975","Houses","Kildare","Number",""
"Planning Permissions Granted","1975","Houses","Louth","Number",""
"Planning Permissions Granted","1975","Houses","Meath","Number",""
"Planning Permissions Granted","1975","Houses","Wicklow","Number",""
"Planning Permissions Granted","1975","Houses","Midland","Number",""
"Planning Permissions Granted","1975","Houses","Laois","Number",""
"Planning Permissions Granted","1975","Houses","Longford","Number",""
"Planning Permissions Granted","1975","Houses","Offaly","Number",""
"Planning Permissions Granted","1975","Houses","Westmeath","Number",""
"Planning Permissions Granted","1975","Multi development houses","State","Number",""
"Planning Permissions Granted","1975","Multi development houses","Northern and Western","Number",""
"Planning Permissions Granted","1975","Multi development houses","Border","Number",""
"Planning Permissions Granted","1975","Multi development houses","Leitrim","Number",""
"Planning Permissions Granted","1975","Multi development houses","Sligo","Number",""
"Planning Permissions Granted","1975","Multi development houses","Cavan","Number",""
"Planning Permissions Granted","1975","Multi development houses","Donegal","Number",""
"Planning Permissions Granted","1975","Multi development houses","Monaghan","Number",""
"Planning Permissions Granted","1975","Multi development houses","West","Number",""
"Planning Permissions Granted","1975","Multi development houses","Galway","Number",""
"Planning Permissions Granted","1975","Multi development houses","Galway City","Number",""
"Planning Permissions Granted","1975","Multi development houses","Mayo","Number",""
"Planning Permissions Granted","1975","Multi development houses","Roscommon","Number",""
"Planning Permissions Granted","1975","Multi development houses","Southern","Number",""
"Planning Permissions Granted","1975","Multi development houses","Mid-West","Number",""
"Planning Permissions Granted","1975","Multi development houses","Clare","Number",""
"Planning Permissions Granted","1975","Multi development houses","Limerick","Number",""
"Planning Permissions Granted","1975","Multi development houses","Tipperary","Number",""
"Planning Permissions Granted","1975","Multi development houses","South-East","Number",""
"Planning Permissions Granted","1975","Multi development houses","Carlow","Number",""
"Planning Permissions Granted","1975","Multi development houses","Kilkenny","Number",""
