"Statistic","HalfYear","Number of Bedrooms","Property Type","Location","UNIT","VALUE"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Carlow","Euro","759.62"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Carlow Town","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Graiguecullen, Carlow","Euro","749.54"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Tullow, Carlow","Euro","729.3"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Cavan","Euro","583.96"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Cavan Town","Euro","570.09"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Bailieborough, Cavan","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Ballyconnell, Cavan","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Ballyjamesduff, Cavan","Euro","611.57"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Belturbet, Cavan","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Cootehill, Cavan","Euro","557.08"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Kingscourt, Cavan","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Virginia, Cavan","Euro","622.08"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Clare","Euro","721.29"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Ennis, Clare","Euro","711.8"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Killaloe, Clare","Euro","726.5"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Kilrush, Clare","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Newmarket-On-Fergus, Clare","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Shannon, Clare","Euro","773.9"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Sixmilebridge, Clare","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Cork","Euro","922.8"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Cork City","Euro","989.64"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Ballincollig, Cork","Euro","1048.57"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Ballintemple, Cork","Euro","1034.88"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Ballinure, Cork","Euro","1105.45"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Bandon, Cork","Euro","819.6"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Bantry, Cork","Euro","645.21"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Bishopstown, Cork","Euro","1092.36"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Blackpool, Cork","Euro","926.2"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Blackrock, Cork","Euro","1072.52"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Blarney, Cork","Euro","928.04"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Carrigaline, Cork","Euro","943.93"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Carrigtwohill, Cork","Euro","899.2"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Castlemartyr, Cork","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Charleville, Cork","Euro","709.7"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Clonakilty, Cork","Euro","827.99"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Cloyne, Cork","Euro","793.71"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Cobh, Cork","Euro","814.48"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Crosshaven, Cork","Euro","934.24"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Douglas, Cork","Euro","1090"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Dunmanway, Cork","Euro","623.75"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Fermoy, Cork","Euro","733.88"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Frankfield, Cork","Euro","1107.17"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Glanmire, Cork","Euro","994.33"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Kanturk, Cork","Euro","660.19"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Kinsale, Cork","Euro","1005.84"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Macroom, Cork","Euro","750.89"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Mallow, Cork","Euro","742.67"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Midleton, Cork","Euro","889.27"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Millstreet, Cork","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Mitchelstown, Cork","Euro","640.13"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Montenotte, Cork","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Passage West, Cork","Euro","919.75"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Rathcormac, Cork","Euro","785.78"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Ringaskiddy, Cork","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Rochestown, Cork","Euro","1062.74"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Skibbereen, Cork","Euro","655.15"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Tivoli, Cork","Euro","911.39"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Tower, Cork","Euro","998.06"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Whitegate, Cork","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Wilton, Cork","Euro","1062.1"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Youghal, Cork","Euro","722.81"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Donegal","Euro","588.88"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Donegal Town","Euro","692.44"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Ballybofey, Donegal","Euro","600.02"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Buncrana, Donegal","Euro","563.1"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Bundoran, Donegal","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Carndonagh, Donegal","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Letterkenny, Donegal","Euro","598.18"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Lifford, Donegal","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Stranorlar, Donegal","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Dublin","Euro","1379.43"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Balbriggan, Dublin","Euro","1055.21"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Blackrock, Dublin","Euro","1632.23"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Booterstown, Dublin","Euro","1709.02"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Cabinteely, Dublin","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Citywest, Dublin","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Dalkey, Dublin","Euro","1780.04"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Donabate, Dublin","Euro","1146.73"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Dun Laoghaire, Dublin","Euro","1365.99"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Glenageary, Dublin","Euro","1867.36"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Howth, Dublin","Euro","1704.03"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Killiney, Dublin","Euro","1883.55"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Kinsealy, Dublin","Euro","1257.95"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Lucan, Dublin","Euro","1258.32"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Lusk, Dublin","Euro","1217.34"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Malahide, Dublin","Euro","1577.68"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Monkstown, Dublin","Euro","1333"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Mount Merrion, Dublin","Euro","1918.57"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Portmarnock, Dublin","Euro","1335.5"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Rathcoole, Dublin","Euro","1132.5"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Rush, Dublin","Euro","1089.88"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Saggart, Dublin","Euro","1292.73"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Sandycove, Dublin","Euro","1677.73"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Shankill, Dublin","Euro","1393.71"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Skerries, Dublin","Euro","1113.53"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Stepaside, Dublin","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Stillorgan, Dublin","Euro","1609.41"
