Location,HalfYear,Value
Dublin,2008H1,1379.43
Dublin,2008H2,1339.7
Dublin,2009H1,1262.62
Dublin,2009H2,1180.34
Dublin,2010H1,1091.3
Dublin,2010H2,1058.53
Dublin,2011H1,1041.96
Dublin,2011H2,1054.78
Dublin,2012H1,1052.95
Dublin,2012H2,1090.15
Dublin,2013H1,1098.39
Dublin,2013H2,1140.27
Dublin,2014H1,1149.79
Dublin,2014H2,1225.25
Dublin,2015H1,1262.18
Dublin,2015H2,1339.88
Dublin,2016H1,1354.63
Dublin,2016H2,1443.23
Dublin,2017H1,1488.11
Dublin,2017H2,1575.65
Dublin,2018H1,1627.72
Dublin,2018H2,1691.44
Dublin,2019H1,1730.26
Dublin,2019H2,1779.63
Dublin,2020H1,1791.66
Dublin,2020H2,1827.47
Dublin,2021H1,1825.32
Dublin,2008H1,1379.43
Dublin,2008H2,1339.7
Dublin,2009H1,1262.62
Dublin,2009H2,1180.34
Dublin,2010H1,1091.3
Dublin,2010H2,1058.53
Dublin,2011H1,1041.96
Dublin,2011H2,1054.78
Dublin,2012H1,1052.95
Dublin,2012H2,1090.15
Dublin,2013H1,1098.39
Dublin,2013H2,1140.27
Dublin,2014H1,1149.79
Dublin,2014H2,1225.25
Dublin,2015H1,1262.18
Dublin,2015H2,1339.88
Dublin,2016H1,1354.63
Dublin,2016H2,1443.23
Dublin,2017H1,1488.11
Dublin,2017H2,1575.65
Dublin,2018H1,1627.72
Dublin,2018H2,1691.44
Dublin,2019H1,1730.26
Dublin,2019H2,1779.63
Dublin,2020H1,1791.66
Dublin,2020H2,1827.47
Dublin,2021H1,1825.32
Dublin,2008H1,1379.43
Dublin,2008H2,1339.7
Dublin,2009H1,1262.62
Dublin,2009H2,1180.34
Dublin,2010H1,1091.3
Dublin,2010H2,1058.53
Dublin,2011H1,1041.96
Dublin,2011H2,1054.78
Dublin,2012H1,1052.95
Dublin,2012H2,1090.15
Dublin,2013H1,1098.39
Dublin,2013H2,1140.27
Dublin,2014H1,1149.79
Dublin,2014H2,1225.25
Dublin,2015H1,1262.18
Dublin,2015H2,1339.88
Dublin,2016H1,1354.63
Dublin,2016H2,1443.23
Dublin,2017H1,1488.11
Dublin,2017H2,1575.65
Dublin,2018H1,1627.72
Dublin,2018H2,1691.44
Dublin,2019H1,1730.26
Dublin,2019H2,1779.63
Dublin,2020H1,1791.66
Dublin,2020H2,1827.47
Dublin,2021H1,1825.32
Dublin,2008H1,1379.43
Dublin,2008H2,1339.7
Dublin,2009H1,1262.62
Dublin,2009H2,1180.34
Dublin,2010H1,1091.3
Dublin,2010H2,1058.53
Dublin,2011H1,1041.96
Dublin,2011H2,1054.78
Dublin,2012H1,1052.95
Dublin,2012H2,1090.15
Dublin,2013H1,1098.39
Dublin,2013H2,1140.27
Dublin,2014H1,1149.79
Dublin,2014H2,1225.25
Dublin,2015H1,1262.18
Dublin,2015H2,1339.88
Dublin,2016H1,1354.63
Dublin,2016H2,1443.23
Dublin,2017H1,1488.11
Dublin,2017H2,1575.65
Dublin,2018H1,1627.72
Dublin,2018H2,1691.44
Dublin,2019H1,1730.26
Dublin,2019H2,1779.63
Dublin,2020H1,1791.66
Dublin,2020H2,1827.47
Dublin,2021H1,1825.32
Dublin,2008H1,1379.43
Dublin,2008H2,1339.7
Dublin,2009H1,1262.62
Dublin,2009H2,1180.34
Dublin,2010H1,1091.3
Dublin,2010H2,1058.53
Dublin,2011H1,1041.96
Dublin,2011H2,1054.78
Dublin,2012H1,1052.95
Dublin,2012H2,1090.15
Dublin,2013H1,1098.39
Dublin,2013H2,1140.27
Dublin,2014H1,1149.79
Dublin,2014H2,1225.25
Dublin,2015H1,1262.18
Dublin,2015H2,1339.88
Dublin,2016H1,1354.63
Dublin,2016H2,1443.23
Dublin,2017H1,1488.11
Dublin,2017H2,1575.65
Dublin,2018H1,1627.72
Dublin,2018H2,1691.44
Dublin,2019H1,1730.26
Dublin,2019H2,1779.63
Dublin,2020H1,1791.66
Dublin,2020H2,1827.47
Dublin,2021H1,1825.32
Dublin,2008H1,1379.43
Dublin,2008H2,1339.7
Dublin,2009H1,1262.62
Dublin,2009H2,1180.34
Dublin,2010H1,1091.3
Dublin,2010H2,1058.53
Dublin,2011H1,1041.96
Dublin,2011H2,1054.78
Dublin,2012H1,1052.95
Dublin,2012H2,1090.15
Dublin,2013H1,1098.39
Dublin,2013H2,1140.27
Dublin,2014H1,1149.79
Dublin,2014H2,1225.25
Dublin,2015H1,1262.18
Dublin,2015H2,1339.88
Dublin,2016H1,1354.63
Dublin,2016H2,1443.23
Dublin,2017H1,1488.11
Dublin,2017H2,1575.65
Dublin,2018H1,1627.72
Dublin,2018H2,1691.44
Dublin,2019H1,1730.26
Dublin,2019H2,1779.63
Dublin,2020H1,1791.66
Dublin,2020H2,1827.47
Dublin,2021H1,1825.32
Dublin,2008H1,1379.43
Dublin,2008H2,1339.7
Dublin,2009H1,1262.62
Dublin,2009H2,1180.34
Dublin,2010H1,1091.3
Dublin,2010H2,1058.53
Dublin,2011H1,1041.96
Dublin,2011H2,1054.78
Dublin,2012H1,1052.95
Dublin,2012H2,1090.15
Dublin,2013H1,1098.39
Dublin,2013H2,1140.27
Dublin,2014H1,1149.79
Dublin,2014H2,1225.25
Dublin,2015H1,1262.18
Dublin,2015H2,1339.88
Dublin,2016H1,1354.63
Dublin,2016H2,1443.23
Dublin,2017H1,1488.11
Dublin,2017H2,1575.65
Dublin,2018H1,1627.72
Dublin,2018H2,1691.44
Dublin,2019H1,1730.26
Dublin,2019H2,1779.63
Dublin,2020H1,1791.66
Dublin,2020H2,1827.47
Dublin,2021H1,1825.32
Dublin,2008H1,1379.43
Dublin,2008H2,1339.7
Dublin,2009H1,1262.62
Dublin,2009H2,1180.34
Dublin,2010H1,1091.3
Dublin,2010H2,1058.53
Dublin,2011H1,1041.96
Dublin,2011H2,1054.78
Dublin,2012H1,1052.95
Dublin,2012H2,1090.15
Dublin,2013H1,1098.39
Dublin,2013H2,1140.27
Dublin,2014H1,1149.79
Dublin,2014H2,1225.25
Dublin,2015H1,1262.18
Dublin,2015H2,1339.88
Dublin,2016H1,1354.63
Dublin,2016H2,1443.23
Dublin,2017H1,1488.11
Dublin,2017H2,1575.65
Dublin,2018H1,1627.72
Dublin,2018H2,1691.44
Dublin,2019H1,1730.26
Dublin,2019H2,1779.63
Dublin,2020H1,1791.66
Dublin,2020H2,1827.47
Dublin,2021H1,1825.32
Dublin,2008H1,1379.43
Dublin,2008H2,1339.7
Dublin,2009H1,1262.62
Dublin,2009H2,1180.34
Dublin,2010H1,1091.3
Dublin,2010H2,1058.53
Dublin,2011H1,1041.96
Dublin,2011H2,1054.78
Dublin,2012H1,1052.95
Dublin,2012H2,1090.15
Dublin,2013H1,1098.39
Dublin,2013H2,1140.27
Dublin,2014H1,1149.79
Dublin,2014H2,1225.25
Dublin,2015H1,1262.18
Dublin,2015H2,1339.88
Dublin,2016H1,1354.63
Dublin,2016H2,1443.23
Dublin,2017H1,1488.11
Dublin,2017H2,1575.65
Dublin,2018H1,1627.72
Dublin,2018H2,1691.44
Dublin,2019H1,1730.26
Dublin,2019H2,1779.63
Dublin,2020H1,1791.66
Dublin,2020H2,1827.47
Dublin,2021H1,1825.32
Dublin,2008H1,1379.43
Dublin,2008H2,1339.7
Dublin,2009H1,1262.62
Dublin,2009H2,1180.34
Dublin,2010H1,1091.3
Dublin,2010H2,1058.53
Dublin,2011H1,1041.96
Dublin,2011H2,1054.78
Dublin,2012H1,1052.95
Dublin,2012H2,1090.15
Dublin,2013H1,1098.39
Dublin,2013H2,1140.27
Dublin,2014H1,1149.79
Dublin,2014H2,1225.25
Dublin,2015H1,1262.18
Dublin,2015H2,1339.88
Dublin,2016H1,1354.63
Dublin,2016H2,1443.23
Dublin,2017H1,1488.11
Dublin,2017H2,1575.65
Dublin,2018H1,1627.72
Dublin,2018H2,1691.44
Dublin,2019H1,1730.26
Dublin,2019H2,1779.63
Dublin,2020H1,1791.66
Dublin,2020H2,1827.47
Dublin,2021H1,1825.32
Dublin,2008H1,1379.43
Dublin,2008H2,1339.7
Dublin,2009H1,1262.62
Dublin,2009H2,1180.34
Dublin,2010H1,1091.3
Dublin,2010H2,1058.53
Dublin,2011H1,1041.96
Dublin,2011H2,1054.78
Dublin,2012H1,1052.95
Dublin,2012H2,1090.15
Dublin,2013H1,1098.39
Dublin,2013H2,1140.27
Dublin,2014H1,1149.79
Dublin,2014H2,1225.25
Dublin,2015H1,1262.18
Dublin,2015H2,1339.88
Dublin,2016H1,1354.63
Dublin,2016H2,1443.23
Dublin,2017H1,1488.11
Dublin,2017H2,1575.65
Dublin,2018H1,1627.72
Dublin,2018H2,1691.44
Dublin,2019H1,1730.26
Dublin,2019H2,1779.63
Dublin,2020H1,1791.66
Dublin,2020H2,1827.47
Dublin,2021H1,1825.32
Dublin,2008H1,1379.43
Dublin,2008H2,1339.7
Dublin,2009H1,1262.62
Dublin,2009H2,1180.34
Dublin,2010H1,1091.3
Dublin,2010H2,1058.53
Dublin,2011H1,1041.96
Dublin,2011H2,1054.78
Dublin,2012H1,1052.95
Dublin,2012H2,1090.15
Dublin,2013H1,1098.39
Dublin,2013H2,1140.27
Dublin,2014H1,1149.79
Dublin,2014H2,1225.25
Dublin,2015H1,1262.18
Dublin,2015H2,1339.88
Dublin,2016H1,1354.63
Dublin,2016H2,1443.23
Dublin,2017H1,1488.11
Dublin,2017H2,1575.65
Dublin,2018H1,1627.72
Dublin,2018H2,1691.44
Dublin,2019H1,1730.26
Dublin,2019H2,1779.63
Dublin,2020H1,1791.66
Dublin,2020H2,1827.47
Dublin,2021H1,1825.32
Dublin,2008H1,1379.43
Dublin,2008H2,1339.7
Dublin,2009H1,1262.62
Dublin,2009H2,1180.34
Dublin,2010H1,1091.3
Dublin,2010H2,1058.53
Dublin,2011H1,1041.96
Dublin,2011H2,1054.78
Dublin,2012H1,1052.95
Dublin,2012H2,1090.15
Dublin,2013H1,1098.39
Dublin,2013H2,1140.27
Dublin,2014H1,1149.79
Dublin,2014H2,1225.25
Dublin,2015H1,1262.18
Dublin,2015H2,1339.88
Dublin,2016H1,1354.63
Dublin,2016H2,1443.23
Dublin,2017H1,1488.11
Dublin,2017H2,1575.65
Dublin,2018H1,1627.72
Dublin,2018H2,1691.44
Dublin,2019H1,1730.26
Dublin,2019H2,1779.63
Dublin,2020H1,1791.66
Dublin,2020H2,1827.47
Dublin,2021H1,1825.32
Dublin,2008H1,1379.43
Dublin,2008H2,1339.7
Dublin,2009H1,1262.62
Dublin,2009H2,1180.34
Dublin,2010H1,1091.3
Dublin,2010H2,1058.53
Dublin,2011H1,1041.96
Dublin,2011H2,1054.78
Dublin,2012H1,1052.95
Dublin,2012H2,1090.15
Dublin,2013H1,1098.39
Dublin,2013H2,1140.27
Dublin,2014H1,1149.79
Dublin,2014H2,1225.25
Dublin,2015H1,1262.18
Dublin,2015H2,1339.88
Dublin,2016H1,1354.63
Dublin,2016H2,1443.23
Dublin,2017H1,1488.11
Dublin,2017H2,1575.65
Dublin,2018H1,1627.72
Dublin,2018H2,1691.44
Dublin,2019H1,1730.26
Dublin,2019H2,1779.63
Dublin,2020H1,1791.66
Dublin,2020H2,1827.47
Dublin,2021H1,1825.32
Dublin,2008H1,1379.43
Dublin,2008H2,1339.7
Dublin,2009H1,1262.62
Dublin,2009H2,1180.34
Dublin,2010H1,1091.3
Dublin,2010H2,1058.53
Dublin,2011H1,1041.96
Dublin,2011H2,1054.78
Dublin,2012H1,1052.95
Dublin,2012H2,1090.15
Dublin,2013H1,1098.39
Dublin,2013H2,1140.27
Dublin,2014H1,1149.79
Dublin,2014H2,1225.25
Dublin,2015H1,1262.18
Dublin,2015H2,1339.88
Dublin,2016H1,1354.63
Dublin,2016H2,1443.23
Dublin,2017H1,1488.11
Dublin,2017H2,1575.65
Dublin,2018H1,1627.72
Dublin,2018H2,1691.44
Dublin,2019H1,1730.26
Dublin,2019H2,1779.63
Dublin,2020H1,1791.66
Dublin,2020H2,1827.47
Dublin,2021H1,1825.32
Dublin,2008H1,1379.43
Dublin,2008H2,1339.7
Dublin,2009H1,1262.62
Dublin,2009H2,1180.34
Dublin,2010H1,1091.3
Dublin,2010H2,1058.53
Dublin,2011H1,1041.96
Dublin,2011H2,1054.78
Dublin,2012H1,1052.95
Dublin,2012H2,1090.15
Dublin,2013H1,1098.39
Dublin,2013H2,1140.27
Dublin,2014H1,1149.79
Dublin,2014H2,1225.25
Dublin,2015H1,1262.18
Dublin,2015H2,1339.88
Dublin,2016H1,1354.63
Dublin,2016H2,1443.23
Dublin,2017H1,1488.11
Dublin,2017H2,1575.65
Dublin,2018H1,1627.72
Dublin,2018H2,1691.44
Dublin,2019H1,1730.26
Dublin,2019H2,1779.63
Dublin,2020H1,1791.66
Dublin,2020H2,1827.47
Dublin,2021H1,1825.32
Dublin,2008H1,1379.43
Dublin,2008H2,1339.7
Dublin,2009H1,1262.62
Dublin,2009H2,1180.34
Dublin,2010H1,1091.3
Dublin,2010H2,1058.53
Dublin,2011H1,1041.96
Dublin,2011H2,1054.78
Dublin,2012H1,1052.95
Dublin,2012H2,1090.15
Dublin,2013H1,1098.39
Dublin,2013H2,1140.27
Dublin,2014H1,1149.79
Dublin,2014H2,1225.25
Dublin,2015H1,1262.18
Dublin,2015H2,1339.88
Dublin,2016H1,1354.63
Dublin,2016H2,1443.23
Dublin,2017H1,1488.11
Dublin,2017H2,1575.65
Dublin,2018H1,1627.72
Dublin,2018H2,1691.44
Dublin,2019H1,1730.26
Dublin,2019H2,1779.63
Dublin,2020H1,1791.66
Dublin,2020H2,1827.47
Dublin,2021H1,1825.32
Dublin,2008H1,1379.43
Dublin,2008H2,1339.7
Dublin,2009H1,1262.62
Dublin,2009H2,1180.34
Dublin,2010H1,1091.3
Dublin,2010H2,1058.53
Dublin,2011H1,1041.96
Dublin,2011H2,1054.78
Dublin,2012H1,1052.95
Dublin,2012H2,1090.15
Dublin,2013H1,1098.39
Dublin,2013H2,1140.27
Dublin,2014H1,1149.79
Dublin,2014H2,1225.25
Dublin,2015H1,1262.18
Dublin,2015H2,1339.88
Dublin,2016H1,1354.63
Dublin,2016H2,1443.23
Dublin,2017H1,1488.11
Dublin,2017H2,1575.65
Dublin,2018H1,1627.72
Dublin,2018H2,1691.44
Dublin,2019H1,1730.26
Dublin,2019H2,1779.63
Dublin,2020H1,1791.66
Dublin,2020H2,1827.47
Dublin,2021H1,1825.32
Dublin,2008H1,1379.43
Dublin,2008H2,1339.7
Dublin,2009H1,1262.62
Dublin,2009H2,1180.34
Dublin,2010H1,1091.3
Dublin,2010H2,1058.53
Dublin,2011H1,1041.96
Dublin,2011H2,1054.78
Dublin,2012H1,1052.95
Dublin,2012H2,1090.15
Dublin,2013H1,1098.39
Dublin,2013H2,1140.27
Dublin,2014H1,1149.79
Dublin,2014H2,1225.25
Dublin,2015H1,1262.18
Dublin,2015H2,1339.88
Dublin,2016H1,1354.63
Dublin,2016H2,1443.23
Dublin,2017H1,1488.11
Dublin,2017H2,1575.65
Dublin,2018H1,1627.72
Dublin,2018H2,1691.44
Dublin,2019H1,1730.26
Dublin,2019H2,1779.63
